brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,description
Panasonic,1.5 T 5 Star Wi-Fi Inverter Smart Split AC,17,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi/Voice,38 dB,4.5,45990,"Panasonic’s 1.5 T 5-Star Wi-Fi Inverter is equipped with True AI and voice control, 7-in-1 convertible modes, extra-quiet (~38 dB) performance, ideal for rooms ~17 m², energy-saving and premium comfort."
LG,1.5 T 5 Star Dual Inverter Split AC,18,1.5,5,Yes,18–48 °C,Yes,3–5 days,Split,Wi-Fi,39 dB,4.6,46590,"LG Dual Inverter 1.5 T (5-Star) delivers whisper-quiet cooling (~39 dB), smart app control, AI 6-in-1 conversion, perfect for mid-sized rooms, for ₹46,590."
Godrej,1 T 5 Star Inverter Split AC,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,None,41 dB,4.3,33490,"Godrej 1 T 5-Star Inverter Split offers high energy efficiency with quiet (~41 dB) operation and reliable brand after-sales, fitting smaller rooms (~12 m²), cost-effective ₹33,490."
Blue Star,1.5 T 5 Star Convertible Split AC,18,1.5,5,Yes,18–48 °C,Yes,3–5 days,Split,None,42 dB,4.4,43990,"Blue Star 1.5 T 5-Star Convertible Inverter provides adaptable cooling, efficient performance, and is ideal for ~18 m² rooms at ₹43,990."
Carrier,1 T 5 Star AI Flexicool Inverter Split,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,None,40 dB,4.4,34990,"Carrier’s 1 T AI Flexicool Inverter Split (5-Star) uses AI to adjust cooling, runs quietly (~40 dB), and is a smart, efficient choice for compact spaces at ₹34,990."
Haier,1 T 4 Star Intelli Smart Split AC,12,1.0,4,Yes,18–48 °C,Yes,5–7 days,Split,Wi-Fi,43 dB,4.2,34990,"Haier’s 1 T Intelli Smart Split (4-Star) supports smart control via Wi-Fi, has good energy efficiency and silent operation (~43 dB), ideal for ~12 m² rooms."
Voltas,1.5 T 3 Star Inverter Split AC,18,1.5,3,Yes,18–45 °C,Yes,3–5 days,Split,None,45 dB,4.1,31990,"Voltas 1.5 T Inverter Split (3-Star) is a value option delivering dependable cooling and lower noise (~45 dB) for ~18 m² rooms."
LG,1 T 4 Star AI Dual Inverter Split AC,12,1.0,4,Yes,18–48 °C,Yes,3–5 days,Split,None,21 dB,4.8,36398,"LG 1 T 4-Star AI Dual Inverter Split is ultra-quiet at just 21 dB, with convertible cooling and excellent energy savings—ideal for small bedrooms."
Daikin,1.5 T 5 Star Inverter Split AC,18,1.5,5,Yes,18–50 °C,Yes,4–6 days,Split,None,38 dB,4.7,45990,"Daikin 1.5 T 5-Star Inverter Split excels in energy efficiency (ISEER ~5.2), features Dew Clean coil and stabiliser-free operation, with silent ~38 dB cooling for ~18 m² rooms."
Panasonic,1.5 T 3 Star Wi-Fi Inverter Smart Split,17,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,38 dB,4.4,41490,"Panasonic’s 1.5 T 3-Star Wi-Fi Inverter Smart Split includes True AI, Wi-Fi/voice, PM 0.1 filter, offers quiet cooling (~38 dB) and is smart and versatile."
