brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,warranty,portability,description
Lloyd,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–45 °C,Yes,3–5 days,Split,4‑Way Swing,41 dB,3.9,44990,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹44990: Lloyd 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Whirlpool,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,16–52 °C,Yes,4–6 days,Split,Smart Diagnosis,35 dB,3.9,46680,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹46680: Whirlpool 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 16–52 °C."
Panasonic,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–45 °C,Yes,3–5 days,Split,Convertible Modes,37 dB,4.1,49010,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹49010: Panasonic 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 37 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,16–52 °C,Yes,4–6 days,Split,Anti‑Bacterial Filter,36 dB,4.6,56530,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹56530: Samsung 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 16–52 °C."
Mitsubishi Electric,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–48 °C,Yes,3–5 days,Split,Dehumidifier,42 dB,3.8,53080,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹53080: Mitsubishi Electric 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 42 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–48 °C."
Daikin,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–48 °C,Yes,4–6 days,Split,Dehumidifier,41 dB,4.8,61840,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹61840: Daikin 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–48 °C."
Panasonic,2.0 Ton 4 Star Inverter Split AC,24,2.0,4,Yes,18–45 °C,Yes,5–7 days,Split,Wi‑Fi + Voice,36 dB,3.9,62200,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹62200: Panasonic 2.0 Ton 4 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,Convertible 5-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi‑Fi + Voice,39 dB,4.7,47000,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹47000: Samsung Convertible 5-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 39 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
LG,1.0 Ton 5 Star Inverter Split AC,12,1.0,5,Yes,18–50 °C,Yes,3–5 days,Split,Convertible Modes,36 dB,3.7,54770,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹54770: LG 1.0 Ton 5 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 36 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–50 °C."
Samsung,1.0 Ton 3 Star Inverter Split AC,12,1.0,3,Yes,16–52 °C,Yes,3–5 days,Split,Wi‑Fi + Voice,41 dB,4.4,43300,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹43300: Samsung 1.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 41 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 16–52 °C."
Panasonic,1.0 Ton Portable AC,12,1.0,4,No,16–52 °C,No,2–4 days,Portable,Smart Diagnosis,53 dB,4.0,37330,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37330: Panasonic 1.0 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 53 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 16–52 °C."
Carrier,PC12DB 1 Ton Portable AC,12,1.0,2,No,18–50 °C,No,4–6 days,Portable,4‑Way Swing,51 dB,4.5,37330,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37330: Carrier PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Croma,1.5 Ton Portable AC Copper Condenser (CRC),18,1.5,4,No,18–45 °C,No,5–7 days,Portable,Dehumidifier,53 dB,4.5,49040,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹49040: Croma 1.5 Ton Portable AC Copper Condenser (CRC) offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 53 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
