brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,warranty,description
Panasonic,1.5 T 5 Star Wi-Fi Inverter Smart Split AC,17,1.5,5,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi/Voice,38 dB,4.5,45990,"1 yr product, 5 yr compressor","Panasonic 1.5 T Wi-Fi Inverter Split is energy-efficient and quiet (~38 dB), with smart voice/app control and 7-in-1 convertible modes—perfect for ~17 m² rooms."
LG,1.5 T 5 Star Dual Inverter Split AC,18,1.5,5,Yes,18–48 °C,Yes,3–5 days,Split,Wi-Fi,39 dB,4.6,46590,"1 yr product, 5 yr compressor","LG Dual Inverter 1.5 T delivers whisper-quiet cooling (~39 dB), smart app control, AI-driven modes and excellent energy saving for mid-sized rooms."
Godrej,1 T 5 Star Inverter Split AC,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,None,41 dB,4.3,33490,"1 yr product, 5 yr compressor","Godrej 1 T 5-Star Inverter Split offers high energy efficiency, low noise (~41 dB), and trusted brand value—ideal for compact spaces."
Blue Star,1.5 T 5 Star Convertible Split AC,18,1.5,5,Yes,18–48 °C,Yes,3–5 days,Split,None,42 dB,4.4,43990,"1 yr product, 5 yr compressor","Blue Star 1.5 T Convertible Inverter lets you adapt capacity while offering efficient, quiet cooling—suitable for rooms up to ~18 m²."
Carrier,1 T 5 Star AI Flexicool Inverter Split,12,1.0,5,Yes,18–48 °C,Yes,4–6 days,Split,None,40 dB,4.4,34990,"1 yr product, 5 yr compressor","Carrier 1 T Flexicool uses AI to adapt cooling, delivers silent (~40 dB) operation, and is energy-efficient for small living spaces."
Haier,1 T 4 Star Intelli Smart Split AC,12,1.0,4,Yes,18–48 °C,Yes,5–7 days,Split,Wi-Fi,43 dB,4.2,34990,"1 yr product, 5 yr compressor","Haier 1 T Intelli Smart supports Wi-Fi control, has good efficiency and quiet cooling (~43 dB)—great for tech-savvy users in small rooms."
Voltas,1.5 T 3 Star Inverter Split AC,18,1.5,3,Yes,18–45 °C,Yes,3–5 days,Split,None,45 dB,4.1,31990,"1 yr product, 5 yr compressor","Voltas 1.5 T Inverter Split is a value offering with reliable performance for mid-sized rooms, balancing comfort and affordability."
LG,1 T 4 Star AI Dual Inverter Split AC,12,1.0,4,Yes,18–48 °C,Yes,3–5 days,Split,None,21 dB,4.8,36398,"1 yr product, 5 yr compressor","LG 1 T AI Dual Inverter Split is ultra-quiet at just 21 dB, with AI-driven cooling modes—excellent for bedrooms."
Daikin,1.5 T 5 Star Inverter Split AC,18,1.5,5,Yes,18–50 °C,Yes,4–6 days,Split,None,38 dB,4.7,45990,"1 yr product, 5 yr compressor","Daikin 1.5 T 5-Star Inverter Split delivers premium ISEER efficiency (~5.2), ultra-quiet (~38 dB), and advanced cooling hygiene."
Panasonic,1.5 T 3 Star Wi-Fi Inverter Smart Split,17,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,Wi-Fi,38 dB,4.4,41490,"1 yr product, 5 yr compressor","Panasonic 1.5 T 3-Star Wi-Fi Split combines True AI and voice control with quiet performance—great for smarter cooling."
Daikin,0.8 T 3 Star Fixed Split AC,8,0.8,3,No,18–45 °C,Yes,4–6 days,Split,None,32 dB,4.0,27950,"1 yr product, 5 yr compressor","Daikin 0.8 T Fixed Split is compact and ultra-quiet (~32 dB), offering quick-cooling (Power-Chill) in small rooms."
Lloyd,1 T 3 Star Inverter Split (5-in-1),12,1.0,3,Yes,18–45 °C,Yes,4–6 days,Split,None,32 dB,4.2,33490,"1 yr product, 5 yr compressor","Lloyd 1 T Inverter Split with 5-in-1 convertible modes and anti-viral filter delivers quiet performance (~32 dB) for small-to-medium rooms."
Carrier,1.5 T 3 Star AI Flexicool Inverter Split,18,1.5,3,Yes,18–48 °C,Yes,4–6 days,Split,None,32 dB,4.3,38430,"1 yr product, 5 yr compressor","Carrier 1.5 T Flexicool offers inverter, AI cooling, silent operation (~32 dB), and high-density filtration in one package."
Cruise,1.5 T 3 Star Inverter Split AC,18,1.5,3,Yes,18–45 °C,Yes,5–7 days,Split,None,46 dB,3.8,28490,"1 yr product, 5 yr compressor","Cruise 1.5 T 3-Star Inverter Split is a budget option with inverter benefits—ideal for cost-sensitive users requiring efficient cooling."
